mapping,owner,gpu_va,bytes,backing_source,lifetime,alignment,permissions,creation,destruction,current_path,target_path
channel[21],Windows,0xffffffa0000f4000,0x4000,channel[21] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[22],Windows,0xffffffa0000fc000,0x4000,channel[22] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[23],Windows,0xffffffa000104000,0x4000,channel[23] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[24],Windows,0xffffffa00010c000,0x4000,channel[24] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[25],Windows,0xffffffa000114000,0x4000,channel[25] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[26],Windows,0xffffffa00011c000,0x4000,channel[26] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[27],Windows,0xffffffa000124000,0x4000,channel[27] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[28],Windows,0xffffffa00012c000,0x4000,channel[28] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[29],Windows,0xffffffa000134000,0x54000,channel[29] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[30],Windows,0xffffffa00018c000,0x150000,channel[30] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[31],Windows,0xffffffa0002e0000,0x4000,channel[31] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[32],Windows,0xffffffa0002e8000,0x8000,channel[32] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[33],Windows,0xffffffa0002f4000,0x4000,channel[33] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
channel[34],Windows,0xffffffa0002fc000,0x4000,channel[34] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[0],Windows,0xffffffa000304000,0x4000,regionb[0] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[1],Windows,0xffffffa00030c000,0x4000,regionb[1] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[2],Windows,0xffffffa000314000,0x4000,regionb[2] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[3],Windows,0xffffffa00031c000,0x8000,regionb[3] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[4],Windows,0xffffffa000328000,0x4000,regionb[4] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[5],Windows,0xffffffa000330000,0x4000,regionb[5] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[6],Windows,0xffffffa000338000,0x4000,regionb[6] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[7],Windows,0xffffffa000340000,0x4000,regionb[7] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[8],Windows,0xffffffa000348000,0x4000,regionb[8] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[9],Windows,0xffffffa000350000,0x4000,regionb[9] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
regionb[10],Windows,0xffffffa000358000,0x4000,regionb[10] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
